canonical_name	abbreviation	format	standard_status_hint	source_section	description
JOB		JOB: pc jobargument ,... J: pc jobargument ,...	ansi	site/RCOS_cjob.html#RCOS_cjob	JOB creates a separate process known as a job , jobbed process , or background job . The created process runs in the background, independently of the current process, usually without user interaction. A jobbed process inherits its configuration environment from the invoking process, except what is explicitly specified in the JOB command. For example, a jobbed process inherits the locale settings of the parent process, not the system default locale.
KILL		KILL: pc killargument ,... K: pc killargument ,...	ansi	site/RCOS_ckill.html#RCOS_ckill	There are three forms of the KILL command:
LOCK		LOCK: pc L: pc LOCK: pc lockargument : timeout ,... L: pc lockargument : timeout ,...	ansi	site/RCOS_clock.html#RCOS_clock	There are two basic forms of the LOCK command:
MERGE		MERGE: pc mergeargument ,... M: pc mergeargument ,...	ansi	site/RCOS_cmerge.html#RCOS_cmerge	MERGE destination = source copies source into destination and all descendants of source into descendants of destination . It does not modify source , or kill any nodes in destination .
NEW		NEW: pc newargument ,... N: pc newargument ,...	ansi	site/RCOS_cnew.html#RCOS_cnew	The NEW command is meant for use within code that is not defined as a procedure block; typically this is legacy code.
OPEN		"OPEN: pc device :( parameters ): timeout :"" mnespace "",... O: pc device :( parameters ): timeout :"" mnespace "",..."	ansi	site/RCOS_copen.html#RCOS_copen	Use the OPEN command to acquire ownership of a specified device (or devices) for input/output operations. An OPEN retains ownership of the device until ownership is released with the CLOSE command.
PRINT		PRINT: pc lineref1 : lineref2 P: pc lineref1 : lineref2	ansi	site/RCOS_cprint.html#RCOS_cprint	The PRINT command displays lines of code from the currently loaded routine. Use ZLOAD to load a routine. ZLOAD loads the INT code version of a routine. For the name of the current routine, access the $ZNAME special variable.
QUIT		QUIT: pc expression Q: pc expression QUIT n Q n	ansi	site/RCOS_cquit.html#RCOS_cquit	The QUIT command is used in two different contexts:
READ		READ: pc readargument ,... R: pc readargument ,...	ansi	site/RCOS_cread.html#RCOS_cread	The READ command accepts input from the current device. The current device is established using the OPEN and USE commands. The $IO special variable contains the device ID of the current device. By default, the current device is the user terminal.
RETURN		RETURN: pc expression RET: pc expression	ansi	site/RCOS_creturn.html#RCOS_creturn	The RETURN command is used to terminate execution of a routine. In many contexts it is a synonym for the QUIT command. RETURN and QUIT differ when issued from within a FOR , DO WHILE , or WHILE flow-of-control structure, or a TRY or CATCH block.
SET		SET: pc setargument ,... S: pc setargument ,...	ansi	site/RCOS_cset.html#RCOS_cset	The SET command assigns a value to a variable. It can set a single variable, or set multiple variables using any combination of two syntactic forms. It can assign values to variables by specifying a comma-separated list of variable=value pairs. For example:
