canonical_name	abbreviation	format	standard_status_hint	source_section	description
$ZINTERRUPT	$ZINT	$ZINT[ERRUPT]	ydb-extension	ProgrammersGuide/isv.rst#$ZINTERRUPT	$ZINT[ERRUPT] specifies the code to be `XECUTE'd <commands.html#xecute>`_ when an interrupt (for example, through a `MUPIP INTRPT <../AdminOpsGuide/dbmgmt.html#intrpt>`_) is processed. While a $ZINTERRUPT action is in process, any additional interrupt signals are discarded. When an interrupt handler is invoked, the current values of `$ECODE <#ecode>`_ and `$REFERENCE <#reference>`_ are saved and restored when the interrupt handler returns. The current device (`$IO <isv.html#io>`_) is neither saved nor restored.
$ZIO	$ZIO	$ZIO	ydb-extension	ProgrammersGuide/isv.rst#$ZIO	$ZIO contains the translated name of the current device, in contrast to $IO, which contains the name as specified by the USE command.
$ZJOB	$ZJ	$ZJ[OB]	ydb-extension	ProgrammersGuide/isv.rst#$ZJOB	$ZJ[OB] holds the pid of the process created by the last JOB command performed by the current process.
$ZLEVEL	$ZL	$ZL[EVEL]	ydb-extension	ProgrammersGuide/isv.rst#$ZLEVEL	"$ZL[EVEL] contains an integer value indicating the ""level of nesting"" caused by DO commands, XECUTE commands, and extrinsic functions in the M invocation stack."
$ZMALLOCLIM	$ZMALL	$ZMALL[OCLIM]	ydb-extension	ProgrammersGuide/isv.rst#$ZMALLOCLIM	$ZMALL[OCLIM] contains an integer value specifying a number of bytes of process memory, which, if exceeded, causes YottaDB to issue a `MALLOCCRIT <../MessageRecovery/errors.html#malloccrit>`_ error. When the value is set, or defaults, to zero (0), YottaDB imposes no limit, although the OS still does. A positive value specifies a byte limit with a minimum of 2.5MB. A value of minus one (-1) provides a value of half the system imposed limit if any.
$ZMAXTPTIME	$ZMAXTPTI	$ZMAXTPTI[ME]	ydb-extension	ProgrammersGuide/isv.rst#$ZMAXTPTIME	$ZMAXTPTI[ME] contains an integer value indicating the time duration, in seconds, YottaDB should wait for the completion of all activities fenced by the current transaction's outermost TSTART/TCOMMIT pair.
$ZMLKHASH	$ZMLKHASH	$ZMLKHASH	ydb-extension	ProgrammersGuide/isv.rst#$ZMLKHASH	$ZMLKHASH is a hash of the last subscript of the last M lock acquired by a process. It is intended as an aid to YottaDB developers, and not an API that applications should rely on.
$ZMODE	$ZMO	$ZMO[DE]	ydb-extension	ProgrammersGuide/isv.rst#$ZMODE	$ZMO[DE] contains a string value indicating the process execution mode.
$ZONLNRLBK	$ZONLNRLBK	$ZONLNRLBK	ydb-extension	ProgrammersGuide/isv.rst#$ZONLNRLBK	$ZONLNRLBK increments every time a process detects a concurrent MUPIP JOURNAL -ONLINE -ROLLBACK.
$ZPATNUMERIC	$ZPATN	$ZPATN[UMERIC]	ydb-extension	ProgrammersGuide/isv.rst#$ZPATNUMERIC	"$ZPATN[UMERIC] is a read-only intrinsic special variable that determines how YottaDB interprets the patcode ""N"" used in the pattern match operator."
