canonical_name	abbreviation	format	standard_status	in_anno	in_ydb	in_iris	anno_section	ydb_section	iris_section	conflict_id	notes
$ZTEXIT	$ZTE	$ZTE[XIT]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZTEXIT			
$ZTIMEOUT	$ZTIMEOUT	$ZTIMEOUT	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZTIMEOUT			
$ZTIMESTAMP		$ZTIMESTAMP $ZTS	iris-extension	false	false	true			site/RCOS_vztimestamp.html#RCOS_vztimestamp		
$ZTIMEZONE		$ZTIMEZONE $ZTZ	iris-extension	false	false	true			site/RCOS_vztimezone.html#RCOS_vztimezone		
$ZTRAP	$ZT	$ZT[RAP]	multi-vendor-ext	false	true	true		ProgrammersGuide/isv.rst#$ZTRAP	site/RCOS_vztrap.html#RCOS_vztrap		
$ZUNSPECIFIED	$Z	$Z[unspecified]	ansi	true	false	false	pages/a107079.html#7.1.4.10			CONF-021	
$ZUSEDSTOR	$ZUSEDSTOR	$ZUSEDSTOR	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZUSEDSTOR			
$ZUT	$ZUT	$ZUT	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZUT			
$ZVERSION	$ZV	$ZV[ERSION]	multi-vendor-ext	false	true	true		ProgrammersGuide/isv.rst#$ZVERSION	site/RCOS_vzversion.html#RCOS_vzversion		
$ZYERROR	$ZYER	$ZYER[ROR]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZYERROR			
$ZYINTRSIG	$ZYINTRSIG	$ZYINTRSIG	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZYINTRSIG			
$ZYJOBPARENT	$ZYJO	$ZYJO[BPARENT]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$ZYJOBPARENT			
