concept	name	pragmatic_tier	standard_status	in_anno	in_ydb	in_iris	anno_section	ydb_section	iris_section
intrinsic-functions	$DOUBLE	iris-only	iris-extension	false	false	true			site/RCOS_fdouble.html#RCOS_fdouble
intrinsic-functions	$DPIECE	ansi-unimplemented	ansi	true	false	false	pages/a107088.html#7.1.5.5		
intrinsic-functions	$EXTRACT	core	ansi	true	true	true	pages/a107089.html#7.1.5.4	ProgrammersGuide/functions.rst#$EXTRACT()	site/RCOS_fextract.html#RCOS_fextract
intrinsic-functions	$FACTOR	iris-only	iris-extension	false	false	true			site/RCOS_ffactor.html#RCOS_ffactor
intrinsic-functions	$FIND	core	ansi	true	true	true	pages/a107090.html#7.1.5.5	ProgrammersGuide/functions.rst#$FIND()	site/RCOS_ffind.html#RCOS_ffind
intrinsic-functions	$FNUMBER	core	ansi	true	true	true	pages/a107091.html#7.1.5.6	ProgrammersGuide/functions.rst#$FNUMBER()	site/RCOS_ffnumber.html#RCOS_ffnumber
intrinsic-functions	$GET	core	ansi	true	true	true	pages/a107092.html#7.1.5.7	ProgrammersGuide/functions.rst#$GET()	site/RCOS_fget.html#RCOS_fget
intrinsic-functions	$HOROLOG	ansi-unimplemented	ansi	true	false	false	pages/a107093.html#7.1.5.10		
intrinsic-functions	$INCREMENT	core	multi-vendor-ext	false	true	true		ProgrammersGuide/functions.rst#$INCREMENT()	site/RCOS_fincrement.html#RCOS_fincrement
intrinsic-functions	$INUMBER	iris-only	iris-extension	false	false	true			site/RCOS_finumber.html#RCOS_finumber
intrinsic-functions	$ISOBJECT	iris-only	iris-extension	false	false	true			site/RCOS_fisobject.html#RCOS_fisobject
intrinsic-functions	$ISVALIDDOUBLE	iris-only	iris-extension	false	false	true			site/RCOS_fisvaliddouble.html#RCOS_fisvaliddouble
intrinsic-functions	$ISVALIDNUM	iris-only	iris-extension	false	false	true			site/RCOS_fisvalidnum.html#RCOS_fisvalidnum
intrinsic-functions	$ISVECTOR	iris-only	iris-extension	false	false	true			site/RCOS_fisvector.html#RCOS_fisvector
intrinsic-functions	$JUSTIFY	core	ansi	true	true	true	pages/a107094.html#7.1.5.8	ProgrammersGuide/functions.rst#$JUSTIFY()	site/RCOS_fjustify.html#RCOS_fjustify
intrinsic-functions	$LENGTH	core	ansi	true	true	true	pages/a107095.html#7.1.5.9	ProgrammersGuide/functions.rst#$LENGTH()	site/RCOS_flength.html#RCOS_flength
intrinsic-functions	$LIST	iris-only	iris-extension	false	false	true			site/RCOS_flist.html#RCOS_flist
intrinsic-functions	$LISTBUILD	iris-only	iris-extension	false	false	true			site/RCOS_flistbuild.html#RCOS_flistbuild
intrinsic-functions	$LISTDATA	iris-only	iris-extension	false	false	true			site/RCOS_flistdata.html#RCOS_flistdata
intrinsic-functions	$LISTFIND	iris-only	iris-extension	false	false	true			site/RCOS_flistfind.html#RCOS_flistfind
intrinsic-functions	$LISTFROMSTRING	iris-only	iris-extension	false	false	true			site/RCOS_flistfromstring.html#RCOS_flistfromstring
intrinsic-functions	$LISTGET	iris-only	iris-extension	false	false	true			site/RCOS_flistget.html#RCOS_flistget
intrinsic-functions	$LISTLENGTH	iris-only	iris-extension	false	false	true			site/RCOS_flistlength.html#RCOS_flistlength
intrinsic-functions	$LISTNEXT	iris-only	iris-extension	false	false	true			site/RCOS_flistnext.html#RCOS_flistnext
intrinsic-functions	$LISTSAME	iris-only	iris-extension	false	false	true			site/RCOS_flistsame.html#RCOS_flistsame
intrinsic-functions	$LISTTOSTRING	iris-only	iris-extension	false	false	true			site/RCOS_flisttostring.html#RCOS_flisttostring
intrinsic-functions	$LISTUPDATE	iris-only	iris-extension	false	false	true			site/RCOS_flistupdate.html#RCOS_flistupdate
intrinsic-functions	$LISTVALID	iris-only	iris-extension	false	false	true			site/RCOS_flistvalid.html#RCOS_flistvalid
intrinsic-functions	$LOCATE	iris-only	iris-extension	false	false	true			site/RCOS_flocate.html#RCOS_flocate
intrinsic-functions	$MATCH	iris-only	iris-extension	false	false	true			site/RCOS_fmatch.html#RCOS_fmatch
intrinsic-functions	$METHOD	iris-only	iris-extension	false	false	true			site/RCOS_fmethod.html#RCOS_fmethod
intrinsic-functions	$MUMPS	ansi-unimplemented	ansi	true	false	false	pages/a107097.html#7.1.5.13		
