canonical_name	abbreviation	format	standard_status	in_anno	in_ydb	anno_section	ydb_section	conflict_id	notes
TRESTART	TRE	TRE[START][:tvexpr]	ansi	true	true	pages/a108051.html#8.2.20	ProgrammersGuide/commands.rst#TREstart		
TROLLBACK	TRO	TRO[LLBACK][:tvexpr] [intexpr]	ansi	true	true	pages/a108052.html#8.2.21	ProgrammersGuide/commands.rst#TROllback		
TSTART	TS	TS[TART][:tvexpr] [([lvn...])|lvn|*|][:keyword|(keyword...)]	ansi	true	true	pages/a108053.html#8.2.22	ProgrammersGuide/commands.rst#TStart		
USE	U	U[SE][:tvexpr] expr[:(keyword[=expr][:...])][,...]	ansi	true	true	pages/a108054.html#8.2.23	ProgrammersGuide/commands.rst#Use		
VIEW	V	V[IEW][:tvexpr] keyword[:expr2[:...]][,...]	ansi	true	true	pages/a108055.html#8.2.24	ProgrammersGuide/commands.rst#View		
WRITE	W	W[RITE][:tvexpr] expr|*intexpr|fcc[,...]	ansi	true	true	pages/a108056.html#8.2.25	ProgrammersGuide/commands.rst#Write		
XECUTE	X	X[ECUTE]:tvexpr expr[:tvexpr][,...]	ansi	true	true	pages/a108057.html#8.2.26	ProgrammersGuide/commands.rst#Xecute		
Z		Previous 1977 1984 1990 1995 MDC Next	ansi	true	false	pages/a108058.html#8.2.27		CONF-014	
ZALLOCATE	ZA	ZA[LLOCATE][:tvexpr] [(]nref[,...][)][:intexpr][,...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZAllocate		
ZBREAK	ZB	ZB[REAK][:tvexpr] [-]entryref[:[expr][:intexpr]][,...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZBREAK		
ZCOMPILE	ZCOM	ZCOM[PILE][:tvexpr] expr[,...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZCOMpile		
ZCONTINUE	ZC	ZC[ONTINUE][:tvexpr]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZContinue		
ZDEALLOCATE	ZD	ZD[EALLOCATE][:tvexpr] [nref[,...]]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZDeallocate		
ZEDIT	ZED	ZED[IT][:tvexpr] [expr[,...]]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZEdit		
ZGOTO	ZG	ZG[OTO][:tvexpr] [[intexpr][:entryref[:tvexpr]],...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZGoto		
ZHALT	ZHALT	ZHALT[:tvexpr] [intexpr]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZHALT		
ZHELP	ZH	ZH[ELP][:tvexpr] [expr1[:expr2],...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZHelp		
ZKILL	ZK	ZK[ILL][:tvexpr] glvn	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZKill		
ZLINK	ZL	ZL[INK][:tvexpr] [expr1[:expr2][,...]]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZLink		
ZMESSAGE	ZM	ZM[ESSAGE][:tvexpr] intexpr[:expr2][:...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZMessage		
ZPRINT	ZP	ZP[RINT][:tvexpr] [entryref[:label[+intexpr]][,...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZPrint		
ZRUPDATE	ZRUP	ZRUP[DATE][:tvexpr] expr [,...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZRUPdate		
ZSHOW	ZSH	ZSH[OW][:tvexpr] [expr[:glvn[:level]][,...]]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZSHow		
ZSTEP	ZST	ZST[EP][:tvexpr] [keyword[:expr]][,...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZSTep		
ZSYSTEM	ZSY	ZSY[STEM][:tvexpr] [expr][,...]]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZSYstem		
ZTCOMMIT	ZTC	ZTC[OMMIT][:tvexpr] [intexpr]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZTCommit		
ZTRIGGER	ZTR	ZTR[IGGER] gvn	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZTRigger		
ZTSTART	ZTS	ZTS[TART][:tvexpr]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZTStart		
ZWITHDRAW	ZWI	ZWI[THDRAW][:tvexpr] glvn	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZWIthdraw		
ZWRITE	ZWR	ZWR[ITE][:tvexpr] [zwrglvn[,...]]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZWRite		
ZYDECODE	ZYDE	ZYDE[CODE][:tvexpr] glvn1=glvn2[,...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZYDECODE		
ZYENCODE	ZYEN	ZYEN[CODE][:tvexpr] glvn1=glvn2[,...]	ydb-extension	false	true		ProgrammersGuide/commands.rst#ZYENCODE		
