canonical_name	abbreviation	format	standard_status	in_anno	in_ydb	anno_section	ydb_section	conflict_id	notes
$ZSOCKET		$ZSOCKET(expr1,expr2[,[expr3][,expr4]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZSOCKET()		
$ZSUBSTR	$ZSUB	$ZSUB[STR] (expr ,intexpr1 [,intexpr2])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZSUBSTR()		
$ZSYSLOG		$ZSYSLOG(expr)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZSYSLOG()		
$ZTRANSLATE	$ZTR	$ZTR[ANSLATE](expr1[,expr2[,expr3]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZTRANSLATE()		
$ZTRIGGER		$ZTRIgger(expr1[,expr2])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZTRIGGER()		
$ZTRNLNM		$ZTRNLNM(expr1[,expr2[,expr3[,expr4[,expr5[,expr6]]]]])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZTRNLNM()		
$ZUADITLOG		$ZUADITLOG(expr)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZAUditlog()		
$ZWIDTH	$ZW	$ZW[IDTH] (expr)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZWIDTH()		
$ZWRITE		$ZWRITE(expr[,intexpr])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZWRITE()		
$ZYCOMPILE		$ZYCOMPILE(string)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZYCOmpile()		
$ZYHASH		$ZYHASH(string[,salt])	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZYHASH()		
$ZYISSQLNULL		$ZYISSQLNULL(expr)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZYISSQLNULL()		
$ZYSUFFIX	$ZYSU	$ZYSU[FFIX](string)	ydb-extension	false	true		ProgrammersGuide/functions.rst#$ZYSUFFIX()		
