in_anno	in_ydb	ydb_section	standard_status	mnemonic	summary	kind
false	true	MessageRecovery/errors.rst#BOVTNGTEOVTN	ydb-extension	BOVTNGTEOVTN	Journal file xxxx has beginning transaction [yyyy] which is greater than end transaction [zzzz]	Error
false	true	MessageRecovery/errors.rst#BREAK	ydb-extension	BREAK	Break instruction encountered	Information
false	true	MessageRecovery/errors.rst#BREAKDEA	ydb-extension	BREAKDEA	Break instruction encountered during Device error action	Information
false	true	MessageRecovery/errors.rst#BREAKZBA	ydb-extension	BREAKZBA	Break instruction encountered during ZBREAK action	Information
false	true	MessageRecovery/errors.rst#BREAKZST	ydb-extension	BREAKZST	Break instruction encountered during ZSTEP action	Information
false	true	MessageRecovery/errors.rst#BSIZTOOLARGE	ydb-extension	BSIZTOOLARGE	bbbb Block larger than specified maximum size	Error
false	true	MessageRecovery/errors.rst#BTFAIL	ydb-extension	BTFAIL	The database block table is corrupt; error type xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#BUFFLUFAILED	ydb-extension	BUFFLUFAILED	Error flushing buffers from uuuu for database file dddd	Error
false	true	MessageRecovery/errors.rst#BUFFSIZETOOSMALL	ydb-extension	BUFFSIZETOOSMALL	TCP xxxx buffer size passed to yyyy smaller than minimum size of zzzz.	Warning
false	true	MessageRecovery/errors.rst#BUFOWNERSTUCK	ydb-extension	BUFOWNERSTUCK	Pid xxxx waiting for Pid yyyy to finish disk-read of block zzzz aaaa. Been waiting for bbbb minutes. read_in_progress=cccc : rip_latch = dddd.	Warning
false	true	MessageRecovery/errors.rst#BUFRDTIMEOUT	ydb-extension	BUFRDTIMEOUT	Pid xxxx timed out waiting for buffered read of blk yyyy into cr zzzz by process aaaa to complete in database file bbbb	Information
false	true	MessageRecovery/errors.rst#BUFSIZIS	ydb-extension	BUFSIZIS	Journal Buffer size is xxxx	Information
false	true	MessageRecovery/errors.rst#BUFSPCDELAY	ydb-extension	BUFSPCDELAY	Request for bbbb blocks in region rrrr delayed	Warning
false	true	MessageRecovery/errors.rst#BUFTOOSMALL	ydb-extension	BUFTOOSMALL	But block size xxxx requires buffer size yyyy	Information
false	true	MessageRecovery/errors.rst#CALLERID	ydb-extension	CALLERID	Routine xxxx called from yyyy	Run Time Error
false	true	MessageRecovery/errors.rst#CALLINAFTERXIT	ydb-extension	CALLINAFTERXIT	After a ydb_exit(), a process cannot create a valid YottaDB context	Run Time Error
false	true	MessageRecovery/errors.rst#CALLINTCOMMIT	ydb-extension	CALLINTCOMMIT	TCOMMIT at call-in-level=xxxx not allowed as corresponding TSTART was done at lower call-in-level=yyyy	Run Time Error
false	true	MessageRecovery/errors.rst#CALLINTROLLBACK	ydb-extension	CALLINTROLLBACK	TROLLBACK at call-in-level=xxxx not allowed as corresponding TSTART was done at lower call-in-level=yyyy	Run Time Error
false	true	MessageRecovery/errors.rst#CANTBITMAP	ydb-extension	CANTBITMAP	Can't perform this operation on a bit map (block at a 200 hexadecimal boundary)	Error
false	true	MessageRecovery/errors.rst#CEBIGSKIP	ydb-extension	CEBIGSKIP	Compiler escape user routine skip count is too large	Run Time Error
false	true	MessageRecovery/errors.rst#CENOINDIR	ydb-extension	CENOINDIR	Indirection type information not available for compiler escape feature	Run Time Error
false	true	MessageRecovery/errors.rst#CETOOLONG	ydb-extension	CETOOLONG	Compiler escape substitution exceeds maximum line size	Run Time Error
false	true	MessageRecovery/errors.rst#CETOOMANY	ydb-extension	CETOOMANY	Too many compiler escape substitutions in a single statement	Run Time Error
false	true	MessageRecovery/errors.rst#CEUSRERROR	ydb-extension	CEUSRERROR	Compiler escape user routine returned error code xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#CHANGELOGINTERVAL	ydb-extension	CHANGELOGINTERVAL	ssss Server is now logging to ffff every IIII transactions	Information
false	true	MessageRecovery/errors.rst#CHNGTPRSLVTM	ydb-extension	CHNGTPRSLVTM	Mupip will change tp_resolve_time from xxxx to yyyy because expected EPOCH or EOF record was not found in Journal File zzzz	Information
false	true	MessageRecovery/errors.rst#CHSETALREADY	ydb-extension	CHSETALREADY	Socket device already contains sockets with iCHSET=xxxx, oCHSET=xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#CIDIRECTIVE	ydb-extension	CIDIRECTIVE	Invalid directive parameter passing. Expected I, O or IO.	Error
false	true	MessageRecovery/errors.rst#CIENTNAME	ydb-extension	CIENTNAME	No label reference found for this entry in call-in table	Error
false	true	MessageRecovery/errors.rst#CIMAXLEVELS	ydb-extension	CIMAXLEVELS	Too many nested Call-ins. Nested resources exhausted at level xxxx.	Run Time Error
false	true	MessageRecovery/errors.rst#CIMAXPARAM	ydb-extension	CIMAXPARAM	Exceeded maximum number of parameters in the call-in table entry. An M routine cannot accept more than 32 parameters.	Run Time Error
false	true	MessageRecovery/errors.rst#CINOENTRY	ydb-extension	CINOENTRY	No entry specified for xxxx in the call-in table yyyy	Run Time Error
false	true	MessageRecovery/errors.rst#CIPARTYPE	ydb-extension	CIPARTYPE	Invalid type specification for O/IO directive - expected pointer type	Error
false	true	MessageRecovery/errors.rst#CIRCALLNAME	ydb-extension	CIRCALLNAME	Call-in routine name expected but not found	Error
false	true	MessageRecovery/errors.rst#CIRPARMNAME	ydb-extension	CIRPARMNAME	Invalid parameter specification for call-in table	Error
false	true	MessageRecovery/errors.rst#CIRTNTYP	ydb-extension	CIRTNTYP	Invalid return type	Error
